game_id,period,start_event,end_event,start_time,end_time,home_lineup,away_lineup,home_3pt_made,home_points,home_assists,home_def_rebounds,home_fouls,home_2pt_made,home_turnovers,home_ft_made,home_off_rebounds,away_def_rebounds,away_2pt_made,away_points,away_assists,away_3pt_made,away_steals,away_fouls,away_blocks,away_off_rebounds,duration,home_steals,away_turnovers,home_blocks,away_ft_made
0022301187,1,2,74,12:00,5:35,"('Craig Porter Jr.', 'Evan Mobley', 'Isaac Okoro', 'Jarrett Allen', 'Max Strus')","('Bryce McGowens', 'JT Thor', 'Marques Bolden', 'Tre Mann', 'Vasilije Micić')",3.0,17.0,6.0,9.0,1.0,3.0,1.0,2.0,1.0,6.0,2.0,13.0,5.0,3.0,1.0,1.0,2.0,1.0,385,,,,
0022301187,1,74,75,5:35,5:35,"('Craig Porter Jr.', 'Georges Niang', 'Isaac Okoro', 'Jarrett Allen', 'Max Strus')","('Bryce McGowens', 'JT Thor', 'Marques Bolden', 'Tre Mann', 'Vasilije Micić')",,,,,,,,,,,,,,,,,,,0,,,,
0022301187,1,75,76,5:35,5:35,"('Craig Porter Jr.', 'Georges Niang', 'Jarrett Allen', 'Marcus Morris Sr.', 'Max Strus')","('Bryce McGowens', 'JT Thor', 'Marques Bolden', 'Tre Mann', 'Vasilije Micić')",,,,,,,,,,,,,,,,,,,0,,,,
0022301187,1,76,89,5:35,4:37,"('Craig Porter Jr.', 'Georges Niang', 'Jarrett Allen', 'Marcus Morris Sr.', 'Max Strus')","('Bryce McGowens', 'JT Thor', 'Marques Bolden', 'Nick Smith Jr.', 'Vasilije Micić')",1.0,5.0,2.0,,,1.0,,,,,,,,,,,,,58,1.0,1.0,,
0022301187,1,89,115,4:37,2:30,"('Craig Porter Jr.', 'Georges Niang', 'Jarrett Allen', 'Marcus Morris Sr.', 'Max Strus')","('Bryce McGowens', 'Leaky Black', 'Marques Bolden', 'Nick Smith Jr.', 'Vasilije Micić')",,4.0,1.0,2.0,,2.0,,,2.0,2.0,1.0,5.0,2.0,1.0,,,1.0,1.0,127,,,1.0,
0022301187,1,115,116,2:30,2:30,"('Craig Porter Jr.', 'Georges Niang', 'Isaac Okoro', 'Jarrett Allen', 'Marcus Morris Sr.')","('Bryce McGowens', 'Leaky Black', 'Marques Bolden', 'Nick Smith Jr.', 'Vasilije Micić')",,,,,,,,,,,,,,,,,,,0,,,,
0022301187,1,116,117,2:30,2:30,"('Emoni Bates', 'Georges Niang', 'Isaac Okoro', 'Jarrett Allen', 'Marcus Morris Sr.')","('Bryce McGowens', 'Leaky Black', 'Marques Bolden', 'Nick Smith Jr.', 'Vasilije Micić')",,,,,,,,,,,,,,,,,,,0,,,,
0022301187,1,117,118,2:30,2:30,"('Emoni Bates', 'Evan Mobley', 'Georges Niang', 'Isaac Okoro', 'Marcus Morris Sr.')","('Bryce McGowens', 'Leaky Black', 'Marques Bolden', 'Nick Smith Jr.', 'Vasilije Micić')",,,,,,,,,,,,,,,,,,,0,,,,
0022301187,1,118,119,2:30,2:30,"('Emoni Bates', 'Evan Mobley', 'Georges Niang', 'Isaac Okoro', 'Marcus Morris Sr.')","('Amari Bailey', 'Leaky Black', 'Marques Bolden', 'Nick Smith Jr.', 'Vasilije Micić')",,,,,,,,,,,,,,,,,,,0,,,,
0022301187,1,119,120,2:30,2:30,"('Emoni Bates', 'Evan Mobley', 'Georges Niang', 'Isaac Okoro', 'Marcus Morris Sr.')","('Aleksej Pokusevski', 'Amari Bailey', 'Leaky Black', 'Nick Smith Jr.', 'Vasilije Micić')",,,,,,,,,,,,,,,,,,,0,,,,
0022301187,1,120,187,2:30,9:33,"('Emoni Bates', 'Evan Mobley', 'Georges Niang', 'Isaac Okoro', 'Marcus Morris Sr.')","('Aleksej Pokusevski', 'Amari Bailey', 'Leaky Black', 'Nick Smith Jr.', 'Tre Mann')",1.0,11.0,3.0,2.0,2.0,4.0,1.0,,1.0,3.0,2.0,9.0,3.0,1.0,,2.0,,2.0,297,,2.0,,2.0
0022301187,2,187,224,9:33,6:46,"('Emoni Bates', 'Evan Mobley', 'Isaac Okoro', 'Marcus Morris Sr.', 'Max Strus')","('Aleksej Pokusevski', 'Amari Bailey', 'Leaky Black', 'Nick Smith Jr.', 'Tre Mann')",1.0,7.0,1.0,1.0,,1.0,1.0,2.0,1.0,3.0,1.0,14.0,5.0,4.0,1.0,2.0,,,167,,,,
0022301187,2,224,225,6:46,6:46,"('Emoni Bates', 'Evan Mobley', 'Georges Niang', 'Isaac Okoro', 'Marcus Morris Sr.', 'Max Strus')","('Aleksej Pokusevski', 'Amari Bailey', 'Leaky Black', 'Nick Smith Jr.', 'Tre Mann')",,,,,,,,,,,,,,,,,,,0,,,,
0022301187,2,225,226,6:46,6:46,"('Emoni Bates', 'Evan Mobley', 'Georges Niang', 'Jarrett Allen', 'Marcus Morris Sr.', 'Max Strus')","('Aleksej Pokusevski', 'Amari Bailey', 'Leaky Black', 'Nick Smith Jr.', 'Tre Mann')",,,,,,,,,,,,,,,,,,,0,,,,
0022301187,2,226,227,6:46,6:46,"('Emoni Bates', 'Evan Mobley', 'Georges Niang', 'Jarrett Allen', 'Marcus Morris Sr.', 'Max Strus')","('Aleksej Pokusevski', 'Amari Bailey', 'Bryce McGowens', 'Nick Smith Jr.', 'Tre Mann')",,,,,,,,,,,,,,,,,,,0,,,,
0022301187,2,227,254,6:46,4:29,"('Emoni Bates', 'Evan Mobley', 'Georges Niang', 'Jarrett Allen', 'Marcus Morris Sr.', 'Max Strus')","('Aleksej Pokusevski', 'Amari Bailey', 'Bryce McGowens', 'Nick Smith Jr.')",,4.0,1.0,2.0,,2.0,1.0,,,3.0,2.0,4.0,1.0,,1.0,,,1.0,137,,1.0,,
0022301187,2,254,255,4:29,4:29,"('Evan Mobley', 'Georges Niang', 'Jarrett Allen', 'Marcus Morris Sr.', 'Max Strus')","('Aleksej Pokusevski', 'Amari Bailey', 'Bryce McGowens', 'Nick Smith Jr.')",,,,,,,,,,,,,,,,,,,0,,,,
0022301187,2,255,256,4:29,4:29,"('Evan Mobley', 'Georges Niang', 'Isaac Okoro', 'Jarrett Allen', 'Max Strus')","('Aleksej Pokusevski', 'Amari Bailey', 'Bryce McGowens', 'Nick Smith Jr.')",,,,,,,,,,,,,,,,,,,0,,,,
0022301187,2,256,257,4:29,4:29,"('Evan Mobley', 'Georges Niang', 'Isaac Okoro', 'Jarrett Allen', 'Max Strus')","('Aleksej Pokusevski', 'Bryce McGowens', 'Marques Bolden', 'Nick Smith Jr.')",,,,,,,,,,,,,,,,,,,0,,,,
